id,texto,aspect,polarity,start_position,end_position,aspecto_llm,polaridade_llm
3,"- Serviço de recepção muito ruim a noite; - Acomodações com mobiliário velho e ruim, colchão péssimo; - Ar condicionado sem funcionar, passamos frio a noite; - Quando pedimos para verificar as coisas, a resposta é que por se tratar do tipo do hotel era assim mesmo.",colchão,-1,85,92,serviço de recepção,-1
4,"- Serviço de recepção muito ruim a noite; - Acomodações com mobiliário velho e ruim, colchão péssimo; - Ar condicionado sem funcionar, passamos frio a noite; - Quando pedimos para verificar as coisas, a resposta é que por se tratar do tipo do hotel era assim mesmo.",recepção,-1,13,21,recepção,-1
5,"- Serviço de recepção muito ruim a noite; - Acomodações com mobiliário velho e ruim, colchão péssimo; - Ar condicionado sem funcionar, passamos frio a noite; - Quando pedimos para verificar as coisas, a resposta é que por se tratar do tipo do hotel era assim mesmo.",serviço,-1,2,9,recepção,-1
43,"A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc. O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo. São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo. A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também. Mas, pelo tempo que se passa no hotel, não faz tanta diferença. Super indico.",hotel,1,148,153,localização,1
44,"A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc. O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo. São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo. A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também. Mas, pelo tempo que se passa no hotel, não faz tanta diferença. Super indico.",cama,-1,369,373,localização,1
45,"A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc. O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo. São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo. A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também. Mas, pelo tempo que se passa no hotel, não faz tanta diferença. Super indico.",localização,1,2,13,localização,1
46,"A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc. O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo. São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo. A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também. Mas, pelo tempo que se passa no hotel, não faz tanta diferença. Super indico.",serviço,1,137,144,localização,1
47,"A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.",atendimento,1,48,59,localização,1
48,"A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.",hotel,1,323,328,localização,1
49,"A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.",chuveiro,-1,260,268,localização,1
